Name,Duration,Description,Comment,VideoLink,Category,Trainer,Status,Qualifications
WEB DEVELOPMENT,10,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Fullstack,Abhilash,Enabled,M.Tech
.NET FULL STACK WITH ANGULAR,10,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Fullstack,Abhilash,Enabled,M.Tech
NODE FULL STACK WITH REACT,10,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Dolorum nam eos neque non dicta, incidunt itaque id impedit nobis rem, placeat est saepe recusandae praesentium quod. Repellendus et adipisci consectetur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Fullstack,Isebella,Enabled,MCA
FUNDAMENTAL MARKETING,10,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Feint,Enabled,M.Tech
CONTENT MARKETING,10,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Michel,Enabled,MBA
EMAIL MARKETING,6,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Michel,Enabled,MCA
SEM,6,"Rerum obcaecati laudantium earum exercitationem consequuntur aperiam ipsam possimus quis, odit, fugit veniam. Rerum quae eum minima. Eaque rerum incidunt perspiciatis repellendus inventore exercitationem dolore sint laborum, possimus quia aut?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Lester,Enabled,MCA
SALES,6,"Iure architecto, asperiores, ratione nostrum tenetur reprehenderit maiores quasi nobis obcaecati iusto nulla tempora praesentium esse consequatur. Non error velit ducimus repudiandae asperiores. Impedit iusto explicabo voluptatibus eligendi facilis eius.",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Trevor,Enabled,B.Tech
ECOMMERCE,6,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Michel,Enabled,M.Tech
CODING,6,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Lester,Enabled,M.Tech
PERSONAL & PROFESSIONAL DEVELOPMENT,4,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Dolorum nam eos neque non dicta, incidunt itaque id impedit nobis rem, placeat est saepe recusandae praesentium quod. Repellendus et adipisci consectetur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Soft Skills,Linda,Enabled,MBA
DESIGN,4,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Design,Joseph,Enabled,MCA
ENTREPRENEURSHIP,4,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Business,Trevor,Enabled,B.Tech
BUSINESS & FINANCE,4,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Business,Trevor,Enabled,M.Tech
WRITING,4,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Literature,Skylle,Enabled,MBA
COMMUNICATION,4,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Dolorum nam eos neque non dicta, incidunt itaque id impedit nobis rem, placeat est saepe recusandae praesentium quod. Repellendus et adipisci consectetur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Soft Skills,Linda,Enabled,MCA
HUMANITIES,8,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Humanities,Skylle,Enabled,B.Tech
LANGUAGES,8,"Rerum obcaecati laudantium earum exercitationem consequuntur aperiam ipsam possimus quis, odit, fugit veniam. Rerum quae eum minima. Eaque rerum incidunt perspiciatis repellendus inventore exercitationem dolore sint laborum, possimus quia aut?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Literature,Skylle,Enabled,M.Tech
PYTHON FULL STACK WITH ANGULAR,8,"Iure architecto, asperiores, ratione nostrum tenetur reprehenderit maiores quasi nobis obcaecati iusto nulla tempora praesentium esse consequatur. Non error velit ducimus repudiandae asperiores. Impedit iusto explicabo voluptatibus eligendi facilis eius.",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Fullstack,Isebella,Enabled,M.Tech
.NET+ MICROSOFT DYNAMICS,8,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Fullstack,Abhilash,Enabled,MBA
SDET- TEST AUTOMATION,8,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Testing,Abhilash,Enabled,MCA
JAVA -GENERIC,8,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Koven,Enabled,B.Tech
ASP.NET,8,"Rerum obcaecati laudantium earum exercitationem consequuntur aperiam ipsam possimus quis, odit, fugit veniam. Rerum quae eum minima. Eaque rerum incidunt perspiciatis repellendus inventore exercitationem dolore sint laborum, possimus quia aut?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Lester,Enabled,M.Tech
JAVA.NET,2,"Iure architecto, asperiores, ratione nostrum tenetur reprehenderit maiores quasi nobis obcaecati iusto nulla tempora praesentium esse consequatur. Non error velit ducimus repudiandae asperiores. Impedit iusto explicabo voluptatibus eligendi facilis eius.",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Isebella,Enabled,B.Tech
JAVA,2,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Lester,Enabled,MCA
POPEL(.NET),2,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Isebella,Enabled,B.Tech
TESTING,2,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Dolorum nam eos neque non dicta, incidunt itaque id impedit nobis rem, placeat est saepe recusandae praesentium quod. Repellendus et adipisci consectetur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Testing,Abhilash,Enabled,MBA
IPATH,2,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Unknown,Trevor,Enabled,MCA
.NET,4,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Lester,Enabled,B.Tech
EDGE .NET,4,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Isebella,Enabled,B.Tech
EDGE JAVA,4,"Rerum obcaecati laudantium earum exercitationem consequuntur aperiam ipsam possimus quis, odit, fugit veniam. Rerum quae eum minima. Eaque rerum incidunt perspiciatis repellendus inventore exercitationem dolore sint laborum, possimus quia aut?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Lester,Enabled,M.Tech
EDGE-INFRA,4,"Iure architecto, asperiores, ratione nostrum tenetur reprehenderit maiores quasi nobis obcaecati iusto nulla tempora praesentium esse consequatur. Non error velit ducimus repudiandae asperiores. Impedit iusto explicabo voluptatibus eligendi facilis eius.",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Isebella,Enabled,M.Tech
ITCP,4,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Isebella,Enabled,MCA
